fecha,ID,wst
2013-04-23,P1,16.214029539999984
2013-04-23,P2,17.952662379999992
2013-04-23,P3,18.66133185999999
2013-04-23,P4,18.613099800000015
2013-05-25,P1,15.869189299999988
2013-05-25,P2,16.286567519999977
2013-05-25,P3,18.68449843999997
2013-05-25,P4,17.621494219999988
2013-06-10,P1,20.175134939999992
2013-06-10,P2,21.319412079999978
2013-06-10,P3,22.161764119999987
2013-06-10,P4,23.734812879999993
2013-06-26,P1,21.26700243999997
2013-06-26,P2,23.69151796
2013-06-26,P3,25.373183799999993
2013-06-26,P4,25.456735399999985
2013-07-12,P1,27.084472479999988
2013-07-12,P2,29.73685599999999
2013-07-12,P3,29.848891100000003
2013-07-12,P4,30.703775879999995
2013-07-28,P1,27.012694059999973
2013-07-28,P2,28.03620115999999
2013-07-28,P3,28.595237319999967
2013-07-28,P4,28.766518099999985
2013-10-16,P1,22.813086819999995
2013-10-16,P2,21.981368619999984
2013-10-16,P3,23.389972639999996
2013-10-16,P4,22.70826754000001
2014-01-04,P1,10.617971239999974
2014-01-04,P2,9.628264559999991
2014-01-04,P3,9.561803059999988
2014-01-04,P4,9.226077540000006
2014-03-09,P1,11.171690479999995
2014-03-09,P2,13.540758119999992
2014-03-09,P3,13.699885940000001
2014-03-09,P4,14.192080820000001
2014-04-10,P1,15.882101820000003
2014-04-10,P2,18.25230879999998
2014-04-10,P3,17.806447079999998
2014-04-10,P4,19.70610664
2014-06-13,P1,25.508005699999984
2014-06-13,P2,27.34044419999998
2014-06-13,P3,24.801614900000004
2014-07-31,P1,25.385716539999976
2014-07-31,P2,26.026405399999987
2014-07-31,P3,27.220053939999985
2014-07-31,P4,27.049532720000002
2014-09-01,P1,23.74164891999999
2014-09-01,P2,27.258031939999995
2014-09-01,P3,26.23490461999998
2014-09-01,P4,27.056748539999973
2014-09-17,P1,24.388034479999988
2014-09-17,P2,25.204181699999992
2014-09-17,P3,26.329849620000005
2014-09-17,P4,26.042356159999997
2014-10-03,P1,24.487916619999993
2014-10-03,P2,23.82406118
2014-10-03,P3,25.041635859999985
2014-10-03,P4,24.381578219999994
2014-12-06,P1,14.850239560000006
2014-12-06,P2,9.311528039999985
2014-12-06,P3,13.100213319999995
2014-12-06,P4,9.205189639999986
2014-12-22,P1,12.645996440000005
2014-12-22,P2,10.392761699999994
2014-12-22,P3,12.955896919999986
2014-12-22,P4,10.500999000000007
2015-01-07,P1,11.01674023999999
2015-01-07,P2,9.295957060000006
2015-01-07,P3,11.251064499999984
2015-01-07,P4,8.785152960000005
2015-02-08,P1,10.8086208
2015-02-08,P2,5.0777405999999985
2015-02-08,P3,6.875239339999979
2015-02-08,P4,4.4678139199999976
2015-02-24,P1,11.772122660000008
2015-02-24,P2,9.409511279999975
2015-02-24,P3,9.640037739999997
2015-03-12,P1,8.994411739999975
2015-03-12,P3,13.608738739999978
2015-03-12,P4,15.063675920000009
2015-03-28,P1,13.291242659999995
2015-03-28,P2,13.19515831999999
2015-03-28,P3,13.704063519999977
2015-03-28,P4,14.845682199999999
2015-04-13,P1,15.136973460000007
2015-04-13,P2,16.74724065999999
2015-04-13,P3,17.291465399999993
2015-04-13,P4,17.97317049999998
2015-05-15,P1,18.638545059999984
2015-05-15,P2,19.384432979999985
2015-05-15,P3,21.263964200000004
2015-05-31,P1,22.707887760000006
2015-05-31,P2,24.733254499999987
2015-05-31,P3,24.85972124
2015-05-31,P4,25.74612775999998
2015-06-16,P1,23.953186379999977
2015-06-16,P2,23.990025040000006
2015-06-16,P3,24.484118819999992
2015-06-16,P4,24.427911379999983
2015-07-18,P1,28.94007755999999
2015-07-18,P2,29.911554800000005
2015-07-18,P3,30.385520239999977
2015-07-18,P4,30.481984359999984
2015-09-20,P1,23.339841679999978
2015-09-20,P2,22.907652039999988
2015-09-20,P3,23.85824138000001
2015-09-20,P4,23.071337219999975
2015-10-06,P1,22.030740019999996
2015-10-06,P2,21.006093579999998
2015-10-06,P3,21.848445620000007
2015-10-06,P4,21.11167241999999
2015-10-22,P1,19.165299919999995
2015-10-22,P2,17.007389959999983
2015-10-22,P3,18.660952080000015
2015-10-22,P4,17.019922699999995
2015-11-23,P1,15.463584260000005
2015-11-23,P2,10.252243099999987
2015-11-23,P3,13.201614579999983
2015-11-23,P4,8.589186479999995
2016-05-01,P1,15.052282519999977
2016-05-01,P2,14.52856589999999
2016-05-01,P3,16.338977159999985
2016-05-01,P4,13.596965559999973
2016-06-02,P1,21.729574479999997
2016-06-02,P2,22.55787466000001
2016-06-02,P3,22.58218058
2016-06-02,P4,22.936895100000015
2016-06-18,P1,20.79569545999999
2016-06-18,P2,21.73375206
2016-06-18,P3,23.292748959999983
2016-06-18,P4,21.641085739999994
2016-07-04,P1,25.03707849999998
2016-07-04,P2,26.566072779999985
2016-07-04,P3,26.77115397999998
2016-08-21,P2,26.546324220000002
2016-08-21,P3,27.465012039999976
2016-08-21,P4,27.733896279999982
2016-09-06,P1,28.241282359999985
2016-09-06,P2,29.11477635999998
2016-09-06,P3,29.732298639999982
2016-09-06,P4,29.763440599999996
2016-10-08,P1,24.136999900000006
2016-10-08,P2,23.399846919999987
2016-10-08,P3,23.198943299999996
2016-10-08,P4,22.842329879999994
2016-11-25,P2,12.092656979999987
2016-11-25,P3,13.226680060000007
2016-11-25,P4,11.297397660000001
2016-12-11,P1,14.476536039999985
2016-12-11,P2,11.361200699999983
2016-12-11,P3,13.110087600000014
2016-12-11,P4,9.827649059999999
2017-01-12,P1,11.281826679999995
2017-01-12,P2,8.457023039999996
